p,g12,g13,g23,D
0.15500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.16000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.16500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.17000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.17500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.18000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.18500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.19000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.19500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.20000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.20500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.21000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.21500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.22000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.22500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.23000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.23500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.24000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.24500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.25000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.25500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.26000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.26500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.27000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.27500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.28000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.28500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.29000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.29500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.30000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.30500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.31000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.31500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.32000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.32500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.33000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.33500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.34000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.34500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.35000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.35500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.36000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.36500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.37000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.37500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.38000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.38500000,0.9770203489,0.0033390356,0.0088775052,0.9681428437
0.39000000,0.9402937832,0.0086132934,0.0235006960,0.9167930872
0.39500000,0.9049227896,0.0136092171,0.0381289225,0.8667938672
0.40000000,0.8708333333,0.0183333333,0.0527777778,0.8180555556
0.40500000,0.8379558849,0.0227917322,0.0674628010,0.7704930839
0.41000000,0.8062250829,0.0269900889,0.0821995186,0.7240255643
0.41500000,0.7755794246,0.0309336841,0.0970034851,0.6785759395
0.42000000,0.7459609821,0.0346274220,0.1118903233,0.6340706588
0.42500000,0.7173151422,0.0380758472,0.1268757645,0.5904393777
0.43000000,0.6895903665,0.0412831599,0.1419756884,0.5476146781
0.43500000,0.6627379714,0.0442532302,0.1572061636,0.5055318078
0.44000000,0.6367119244,0.0469896104,0.1725834879,0.4641284365
0.44500000,0.6114686570,0.0494955467,0.1881242300,0.4233444270
0.45000000,0.5869668911,0.0517739899,0.2038452709,0.3831216202
0.45500000,0.5631674794,0.0538276042,0.2197638475,0.3434036319
0.46000000,0.5400332563,0.0556587762,0.2358975965,0.3041356598
0.46500000,0.5175289010,0.0572696218,0.2522646000,0.2652643010
0.47000000,0.4956208094,0.0586619932,0.2688834332,0.2267373762
0.47500000,0.4742769753,0.0598374843,0.2857732128,0.1885037625
0.48000000,0.4534668803,0.0607974359,0.3029536489,0.1505132314
0.48500000,0.4331613904,0.0615429393,0.3204450984,0.1127162920
0.49000000,0.4133326596,0.0620748399,0.3382686212,0.0750640384
0.49500000,0.3939540406,0.0623937400,0.3564460394,0.0375080012
0.50000000,0.3750000000,0.0625000000,0.3750000000,0.0000000000
0.50500000,0.3564460394,0.0623937400,0.3939540406,-0.0375080012
0.51000000,0.3382686212,0.0620748399,0.4133326596,-0.0750640384
0.51500000,0.3204450984,0.0615429393,0.4331613904,-0.1127162920
0.52000000,0.3029536489,0.0607974359,0.4534668803,-0.1505132314
0.52500000,0.2857732128,0.0598374843,0.4742769753,-0.1885037625
0.53000000,0.2688834332,0.0586619932,0.4956208094,-0.2267373762
0.53500000,0.2522646000,0.0572696218,0.5175289010,-0.2652643010
0.54000000,0.2358975965,0.0556587762,0.5400332563,-0.3041356598
0.54500000,0.2197638475,0.0538276042,0.5631674794,-0.3434036319
0.55000000,0.2038452709,0.0517739899,0.5869668911,-0.3831216202
0.55500000,0.1881242300,0.0494955467,0.6114686570,-0.4233444270
0.56000000,0.1725834879,0.0469896104,0.6367119244,-0.4641284365
0.56500000,0.1572061636,0.0442532302,0.6627379714,-0.5055318078
0.57000000,0.1419756884,0.0412831599,0.6895903665,-0.5476146781
0.57500000,0.1268757645,0.0380758472,0.7173151422,-0.5904393777
0.58000000,0.1118903233,0.0346274220,0.7459609821,-0.6340706588
0.58500000,0.0970034851,0.0309336841,0.7755794246,-0.6785759395
0.59000000,0.0821995186,0.0269900889,0.8062250829,-0.7240255643
0.59500000,0.0674628010,0.0227917322,0.8379558849,-0.7704930839
0.60000000,0.0527777778,0.0183333333,0.8708333333,-0.8180555556
0.60500000,0.0381289225,0.0136092171,0.9049227896,-0.8667938672
0.61000000,0.0235006960,0.0086132934,0.9402937832,-0.9167930872
0.61500000,0.0088775052,0.0033390356,0.9770203489,-0.9681428437
0.62000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.62500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.63000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.63500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.64000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.64500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.65000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.65500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.66000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.66500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.67000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.67500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.68000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.68500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.69000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.69500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.70000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.70500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.71000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.71500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.72000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.72500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.73000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.73500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.74000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.74500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.75000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.75500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.76000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.76500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.77000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.77500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.78000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.78500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.79000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.79500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.80000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.80500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.81000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.81500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.82000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.82500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.83000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.83500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.84000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.84500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.85000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.85500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.86000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.86500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.87000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.87500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.88000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.88500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.89000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.89500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.90000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.90500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.91000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.91500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.92000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.92500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.93000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.93500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.94000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.94500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.95000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.95500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.96000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.96500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.97000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.97500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.98000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.98500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.99000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
0.99500000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
1.00000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000
